"Priority","Cluster","Query","Lang","Intent","PageBlock","Note"
"P1","Основной симптом","електросамокат не заряджається харків","UA","Коммерческий + проблема","Hero, симптомы, причины, CTA","Главный UA запрос страницы"
"P1","Основной симптом","электросамокат не заряжается харьков","RU","Коммерческий + проблема","Hero, SEO-текст, FAQ","Русскоязычный хвост, аккуратно вписать"
"P1","Основной симптом","самокат не заряджається харків","UA","Проблема","Симптомы, FAQ","Разговорная формулировка"
"P1","Основной симптом","самокат не заряжается харьков","RU","Проблема","Симптомы, FAQ","Разговорная формулировка"
"P1","Ремонт зарядки","ремонт зарядки електросамоката харків","UA","Коммерческий","Причины, диагностика, цены","Можно раскрывать на этой странице"
"P1","Ремонт зарядки","ремонт зарядки электросамоката харьков","RU","Коммерческий","Причины, диагностика, цены","Ключ для русскоязычной аудитории"
"P1","Зарядный порт","ремонт зарядного порту електросамоката харків","UA","Коммерческий","Причины, цены","Важный подкластер"
"P1","Зарядный порт","ремонт зарядного порта электросамоката харьков","RU","Коммерческий","Причины, цены","Важный подкластер"
"P1","Диагностика","діагностика електросамоката не заряджається","UA","Информационно-коммерческий","Диагностика","Что проверяет мастер"
"P1","Диагностика","диагностика электросамоката не заряжается","RU","Информационно-коммерческий","Диагностика","Что проверяет мастер"
"P2","Аккумулятор/BMS","електросамокат не заряджається акумулятор","UA","Проблема","Причины, что проверяем","Может вести на будущую страницу АКБ"
"P2","Аккумулятор/BMS","электросамокат не заряжается аккумулятор","RU","Проблема","Причины, что проверяем","Может вести на будущую страницу АКБ"
"P2","BMS","ремонт bms електросамоката харків","UA/RU","Коммерческий техничный","Причины, диагностика","Низкочастотный, но точный"
"P2","Батарея","ремонт батареї електросамоката харків","UA","Коммерческий","Связанные страницы","Лучше отдельная страница второго шага"
"P2","Батарея","ремонт аккумулятора электросамоката харьков","RU","Коммерческий","Связанные страницы","Лучше отдельная страница второго шага"
"P2","Зарядное устройство","зарядний пристрій електросамоката не працює","UA","Проблема","Диагностика, FAQ","Проверка блока питания"
"P2","Зарядное устройство","зарядное устройство электросамоката не работает","RU","Проблема","Диагностика, FAQ","Проверка блока питания"
"P2","После воды","електросамокат не заряджається після води","UA","Срочная проблема","Причины, предупреждение, FAQ","Сильный информационно-коммерческий хвост"
"P2","После воды","электросамокат не заряжается после воды","RU","Срочная проблема","Причины, предупреждение, FAQ","Сильный информационно-коммерческий хвост"
"P2","После простоя","електросамокат не заряджається після зими","UA","Сезонная проблема","FAQ, причины","Весенний спрос"
"P2","После простоя","электросамокат не заряжается после зимы","RU","Сезонная проблема","FAQ, причины","Весенний спрос"
"P3","Бренд + симптом","xiaomi m365 не заряджается","RU/EN brand","Проблема модели","Бренды, FAQ","Использовать без отдельной страницы пока"
"P3","Бренд + симптом","ninebot не заряджається","UA/RU brand","Проблема модели","Бренды, FAQ","Использовать без отдельной страницы пока"
"P3","Бренд + симптом","kugoo не заряжается","RU brand","Проблема модели","Бренды, FAQ","Использовать без отдельной страницы пока"
"P3","Ошибки","електросамокат показує помилку зарядки","UA","Информационный","Симптомы, FAQ","Дополнительный хвост"
"P3","Ошибки","ошибка зарядки электросамоката","RU","Информационный","Симптомы, FAQ","Дополнительный хвост"
"P3","Без города","чому електросамокат не заряджається","UA","Информационный","Причины, FAQ","Можно ловить FAQ/инфоблоком"
"P3","Без города","почему электросамокат не заряжается","RU","Информационный","Причины, FAQ","Можно ловить FAQ/инфоблоком"
"P3","Что делать","що робити якщо електросамокат не заряджається","UA","Информационный","FAQ, предупреждение","Добавить “не включать после воды”"
"P3","Что делать","что делать если электросамокат не заряжается","RU","Информационный","FAQ, предупреждение","Добавить “не включать после воды”"
