Кластер;Запит;Мова;Інтент;Пріоритет;Куди використовувати
Основний;ремонт электросамокатов crosser харьков;RU;Знайти сервіс Crosser у Харкові;Середній;Title, H1 сенс, вступ
Основний;ремонт электросамоката crosser харьков;RU;Ремонт конкретного самоката Crosser;Середній;Вступ, SEO-текст
Основний;ремонт електросамокатів crosser харків;UA;Український варіант основного запиту;Середній;H1, H2, перший екран
Модель;ремонт crosser t4 харьков;RU;Конкретна модель T4;Середній;Блок моделей, FAQ
Модель;ремонт crosser e9 харьков;RU;Конкретна модель E9;Низький/середній;Блок моделей
Поломка;crosser не заряжается;RU;Симптом зарядки;Середній;Симптоми, ціни
Поломка;crosser не включается;RU;Симптом запуску;Середній;Симптоми
Поломка;ремонт аккумулятора crosser;RU;Компонентний ремонт;Середній;Блок робіт
Поломка;ремонт контроллера crosser;RU;Компонентний ремонт;Середній;Блок робіт, перелінковка
Поломка;ремонт колеса crosser;RU;Колесо/механіка;Середній;Блок робіт
Поломка;ремонт тормозов crosser;RU;Гальма/безпека;Середній;Блок робіт
