Кластер,Запит,Язык,Интент,Приоритет,Куда использовать
Основной,ремонт мотор колеса электросамоката харьков,RU,Найти сервис по ремонту мотор-колеса,Высокий,"Title, H1 смысл, semantic brief"
Основной,ремонт мотор-колеса електросамоката харків,UA,Ремонт узла в городе,Высокий,"H1, первый экран"
Основной,ремонт мотора электросамоката харьков,RU,Поиск ремонта двигателя/колеса,Высокий,Meta/семантика
Симптом,электросамокат не едет харьков,RU,"Диагностика причины, сервис",Средний,"Блок симптомов, ссылки на контролер"
Симптом,електросамокат не їде,UA,Понять причину и ремонт,Средний,FAQ/симптомы
Симптом,электросамокат дергается при езде,RU,Причина рывков,Средний,Симптомы/FAQ
Причина,датчики холла электросамокат ремонт,RU,Ремонт датчиков мотор-колеса,Средний,Диагностика
Причина,замена подшипников мотор колеса электросамоката,RU,Механический ремонт,Средний,Цены/услуги
Причина,мотор колесо греется электросамокат,RU,Проблема перегрева,Средний,Причины/FAQ
Локальный,сервис электросамокатов харьков мотор колесо,RU,Выбор мастерской,Средний,Local trust
Бренды,xiaomi ninebot kugoo мотор колесо,RU/UA,Брендовые модификаторы,Низкий,Блок брендов
