"Order","Block","Goal","Heading","Volume","KeyPhrases","Content"
"1","H1 / Hero","Сразу подтвердить проблему, город и сервисный интент","Електросамокат не заряджається у Харкові","80-120 слов","електросамокат не заряджається харків; электросамокат не заряжается харьков","Коротко: принимаем самокаты, проверяем зарядный порт, BMS, АКБ, контролер, проводку и зарядное устройство. Указать адрес, диагностику от 100 грн, CTA."
"2","Симптомы","Пользователь узнает свою ситуацию","Коли варто звернутися в сервіс","120-160 слов","самокат не заряджається; самокат не заряжается","Описать: не идет заряд, зарядка мигает, самокат быстро садится, не включается после зарядки, проблема после воды/падения/зимы."
"3","Причины","Раскрыть экспертность и техническую глубину","Чому електросамокат не заряджається","180-240 слов","ремонт зарядки електросамоката харків; ремонт зарядки электросамоката харьков","Причины: зарядный порт, BMS, аккумулятор, контролер, проводка, зарядное устройство. Лучше таблицей: причина / что видит клиент / что проверяет мастер."
"4","Диагностика","Объяснить процесс проверки и снять страх цены","Що перевіряє майстер під час діагностики","140-190 слов","діагностика електросамоката не заряджається; диагностика электросамоката не заряжается","Пошагово: осмотр порта, проверка зарядки, напряжение АКБ, BMS, проводка, контролер, тест под нагрузкой. Сказать, что детали не меняются наугад."
"5","Цены","Дать коммерческий ориентир без ложных обещаний","Скільки коштує ремонт зарядки електросамоката","100-140 слов + таблица","ремонт зарядного порту електросамоката харків; ремонт зарядного порта электросамоката харьков","Таблица: диагностика от 100, порт от 400, проводка от 300, после воды от 400, АКБ/BMS после проверки. Объяснить, почему цена после диагностики."
"6","Бренды","Закрыть брендовые хвосты без отдельных страниц","Які бренди приймаємо","90-130 слов","xiaomi не заряджается; ninebot не заряджається; kugoo не заряжается","Xiaomi, Ninebot, Kugoo, Crosser, Giant, Proove, Koko City. Указать, что нужно назвать модель и взять зарядное устройство."
"7","Что делать до сервиса","Дать полезный совет и усилить доверие","Що робити, якщо самокат не заряджається","100-140 слов","що робити якщо електросамокат не заряджається; что делать если электросамокат не заряжается","Не включать после воды, не разбирать АКБ, не заряжать при запахе/нагреве, взять зарядку, описать симптом, не ездить при нестабильном контакте."
"8","Процесс ремонта","Показать порядок работы и контроль","Як проходить ремонт","100-130 слов","сервіс електросамокатів харків; сервис электросамокатов харьков","Заявка, диагностика, объяснение причины, согласование цены, ремонт, тест, рекомендации."
"9","Локальный доверительный блок","Усилить local SEO и конверсию","Де відремонтувати електросамокат у Харкові","80-120 слов","сервисный центр электросамокатов харьков; сервіс електросамокатів харків","Адреса Дерев’янка 58, телефон, график, что взять с собой, диагностика на месте, коммуникация до ремонта."
"10","FAQ","Закрыть хвосты и добавить FAQ schema","FAQ","5-7 вопросов","почему электросамокат не заряжается; електросамокат не заряджається після води; після зими","Вопросы: почему не заряжается; можно ли включать после воды; сколько стоит диагностика; что взять; ремонтируете ли батареи; сколько времени; какие бренды."
